State: 0, Action: 1
State: 1, Action: 1
State: 2, Action: 0
State: 3, Action: 3
State: 4, Action: 1
State: 5, Action: 1
State: 6, Action: 3
State: 7, Action: 1
State: 8, Action: 3
State: 9, Action: 3
State: 10, Action: 3
State: 11, Action: 3
State: 12, Action: 3
State: 13, Action: 1
State: 14, Action: 0
State: 15, Action: 3
State: 16, Action: 3
State: 17, Action: 0
State: 18, Action: 1
State: 19, Action: 3
State: 20, Action: 0
State: 21, Action: 0
State: 22, Action: 1
State: 23, Action: 2
State: 24, Action: 0
State: 25, Action: 2
State: 26, Action: 2
State: 27, Action: 0
State: 28, Action: 1
State: 29, Action: 1
State: 30, Action: 3
State: 31, Action: 1
State: 32, Action: 2
State: 33, Action: 2
State: 34, Action: 0
State: 35, Action: 2
State: 36, Action: 0
State: 37, Action: 3
State: 38, Action: 2
State: 39, Action: 2
State: 40, Action: 3
State: 41, Action: 2
State: 42, Action: 3
State: 43, Action: 1
State: 44, Action: 3
State: 45, Action: 3
State: 46, Action: 1
State: 47, Action: 1
State: 48, Action: 1
State: 49, Action: 0
State: 50, Action: 2
State: 51, Action: 1
State: 52, Action: 3
State: 53, Action: 0
State: 54, Action: 1
State: 55, Action: 3
State: 56, Action: 3
State: 57, Action: 1
State: 58, Action: 2
State: 59, Action: 1
State: 60, Action: 1
State: 61, Action: 1
State: 62, Action: 3
State: 63, Action: 1
