sala,tempo,taxa,recompensa,passos
salas/sala1.txt,0.563,100.0,95.33,4.67
salas/sala2.txt,3.551,100.0,90.57,9.43
salas/sala3.txt,3.477,22.22,-60.33,81.78
salas/sala3.1.txt,2.992,78.26,30.04,48.0
salas/sala3.2.txt,1.649,100.0,79.54,20.46
salas/sala4.txt,7.842,94.12,-30.68,124.74
salas/sala5.txt,11.378,57.14,-168.4,225.12
salas/sala6.txt,105.498,23.48,-1982.65,2005.37
salas/sala7.txt,116.68,17.02,-2150.62,2166.81
salas/sala8.txt,112.991,54.17,-1585.78,1639.49
salas/sala9.txt,8.319,64.1,-188.23,211.92
salas/sala10.txt,2.864,56.52,-56.26,61.91
salas/sala11.txt,3.286,73.68,-28.68,38.95
salas/sala12.txt,3.196,65.71,-56.49,64.71
