sala,tempo,taxa,recompensa,passos
salas/sala1.txt,0.531,100.0,92.0,8.0
salas/sala2.txt,0.731,100.0,94.29,5.71
salas/sala3.txt,3.615,22.22,-61.61,83.06
salas/sala3.1.txt,4.015,100.0,80.61,19.39
salas/sala3.2.txt,1.061,100.0,91.25,8.75
salas/sala4.txt,3.456,100.0,62.26,37.74
salas/sala5.txt,7.088,83.33,-79.26,162.43
salas/sala6.txt,56.169,66.52,-1017.18,1083.37
salas/sala7.txt,109.078,21.28,-2051.02,2071.51
salas/sala8.txt,104.403,40.28,-1856.5,1896.18
salas/sala9.txt,5.61,87.18,-62.36,115.51
salas/sala10.txt,3.261,52.17,-38.48,69.13
salas/sala11.txt,3.617,63.16,-11.32,53.05
salas/sala12.txt,2.02,97.14,57.14,28.54
