State: 0, Action: 2
State: 1, Action: 2
State: 2, Action: 1
State: 3, Action: 0
State: 4, Action: 1
State: 5, Action: 1
State: 6, Action: 1
State: 7, Action: 1
State: 8, Action: 1
State: 9, Action: 1
State: 10, Action: 1
State: 11, Action: 2
State: 12, Action: 1
State: 13, Action: 1
State: 14, Action: 0
State: 15, Action: 0
State: 16, Action: 1
State: 17, Action: 1
State: 18, Action: 1
State: 19, Action: 2
State: 20, Action: 1
State: 21, Action: 0
State: 22, Action: 2
State: 23, Action: 1
State: 24, Action: 2
State: 25, Action: 2
State: 26, Action: 1
State: 27, Action: 1
State: 28, Action: 0
State: 29, Action: 0
State: 30, Action: 1
State: 31, Action: 0
State: 32, Action: 3
State: 33, Action: 3
State: 34, Action: 2
State: 35, Action: 1
State: 36, Action: 0
State: 37, Action: 3
State: 38, Action: 0
State: 39, Action: 1
State: 40, Action: 1
State: 41, Action: 2
State: 42, Action: 3
State: 43, Action: 1
State: 44, Action: 1
State: 45, Action: 2
State: 46, Action: 3
State: 47, Action: 0
State: 48, Action: 2
State: 49, Action: 3
State: 50, Action: 2
State: 51, Action: 1
State: 52, Action: 0
State: 53, Action: 0
State: 54, Action: 0
State: 55, Action: 1
State: 56, Action: 0
State: 57, Action: 0
State: 58, Action: 0
State: 59, Action: 0
State: 60, Action: 3
State: 61, Action: 2
State: 62, Action: 3
State: 63, Action: 0
